Language ,Tool ,Equivalent Mutants,Cost Reduction,Mutation Operators,v1,v5,,,,,,,,,,,,,
conditional op,conditional operator ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
assignment op,assignment operator ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
bitwise op,bitwise operator ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
shift op,shift operator ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
constant,constant ,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
variable,variable ,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
absolute value,absolute value ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
conditional exp,conditional expression ,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
parentheses,parenthesis ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
type,type ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
