Xu et al.\cite{xu2012testing},test strategy evaluation
Xuan and Monperrus\cite{xuan2014test} , fault localisation 
Ye and Jacobsen\cite{ye2013whitening},"test data generation, test strategy evaluation"
Yoo and Harman\cite{yoo2012test},test data generation
Yoon and Choi\cite{yoon2004effective},test-suite selection
You et al.\cite{you2015efficient} , test data generation 
Zhang and Mesbah\cite{zhang2015assertions} , test strategy evaluation 
Zhang et al. \cite{zhang2013bridging} , test case prioritisation 
Zhang et al.\cite{wang2009taming} , fault localisation 
Zhang et al.\cite{zhang2009time},test case prioritisation
Zhang et al.\cite{zhang2011empirical} , test-suite reduction 
Zhang et al.\cite{zhang2014search},test oracle
Zhou and Frankl\cite{zhou2011jdama} ," test data generation, test strategy evaluation "
Carzaniga et al.\cite{carzaniga2013automatic},program repairing
Xue and Namin\cite{xue2013significant},fault localisation
Carzaniga et al.\cite{carzaniga2014cross},test oracle
Fraser et al.\cite{fraser2015does}*,test data generation
Rojas et al.\cite{rojas2015automated},test data generation
Wedyan et al.\cite{wedyan2015approach},test strategy evaluation
Murphy et al.\cite{murphy2009automatic},test oracle
Pastore et al.\cite{pastore2013crowdoracles},test oracle
Taneja and Xie\cite{taneja2008diffgen},test data generation
El-Fakih et al.\cite{el2014studying},test strategy evaluation
Patrick et al.\cite{patrick2013using},test data generation
Just and Schweiggert\cite{just2009evaluating},test strategy evaluation
Knauth et al.\cite{knauth2009assertion},test strategy evaluation
Bradbury et al.\cite{bradbury2007comparative},test strategy evaluation
Poulding and Clark\cite{poulding2010efficient},test strategy evaluation
Gallardo et al.\cite{gallardo2006assessment},fault tolerance
